input1,input2,input3,input4,input5,output1,output2
1338.68,1518.25,1590.32,1646.61,1610.36,2663.91,3137.79
1518.25,1590.32,1646.61,1610.36,1814.97,3137.79,2541.37
1590.32,1646.61,1610.36,1814.97,1602.68,2541.37,2689.36
1646.61,1610.36,1814.97,1602.68,1528.17,2689.36,2539.7
1610.36,1814.97,1602.68,1528.17,1514.82,2539.7,2464.02
1814.97,1602.68,1528.17,1514.82,1690.33,2464.02,2445.97
1602.68,1528.17,1514.82,1690.33,1537.52,2445.97,2651.45
1528.17,1514.82,1690.33,1537.52,1564.09,2651.45,2442.16
1514.82,1690.33,1537.52,1564.09,1620.36,2442.16,2261.95
1690.33,1537.52,1564.09,1620.36,2209.67,2261.95,1926.27
1537.52,1564.09,1620.36,2209.67,2367.21,1926.27,3034.02
1564.09,1620.36,2209.67,2367.21,2445.33,3034.02,2956.61
1620.36,2209.67,2367.21,2445.33,2532.71,2956.61,3499.73
2209.67,2367.21,2445.33,2532.71,2590.14,3499.73,3346.6
2367.21,2445.33,2532.71,2590.14,2597.59,3346.6,3406.13
2445.33,2532.71,2590.14,2597.59,2719.95,3406.13,3595.77
2532.71,2590.14,2597.59,2719.95,2673.88,3595.77,3801.15
2590.14,2597.59,2719.95,2673.88,2613.95,3801.15,2909.59
2597.59,2719.95,2673.88,2613.95,2829.81,2909.59,2974.9
2719.95,2673.88,2613.95,2829.81,2635.37,2974.9,2901.39
2673.88,2613.95,2829.81,2635.37,2223.16,2901.39,3130.92
2613.95,2829.81,2635.37,2223.16,2526.12,3130.92,2913.74
2829.81,2635.37,2223.16,2526.12,2557.85,2913.74,2650.93
2635.37,2223.16,2526.12,2557.85,2765.15,2650.93,2706.82
2223.16,2526.12,2557.85,2765.15,2259.54,2706.82,3142.29
2526.12,2557.85,2765.15,2259.54,2658.42,3142.29,2812.12
2557.85,2765.15,2259.54,2658.42,2420.47,2812.12,2909.16
2765.15,2259.54,2658.42,2420.47,2453.69,2909.16,2675.77
2259.54,2658.42,2420.47,2453.69,2435.99,2675.77,2592.4
2658.42,2420.47,2453.69,2435.99,2405.3,2592.4,2451.38
2420.47,2453.69,2435.99,2405.3,2541.2,2451.38,2603.98
2453.69,2435.99,2405.3,2541.2,2562.68,2603.98,2495.37
2435.99,2405.3,2541.2,2562.68,2221.31,2495.37,2267.03
2405.3,2541.2,2562.68,2221.31,2546.45,2267.03,2169.95
2541.2,2562.68,2221.31,2546.45,3282.94,2169.95,2871.62
2562.68,2221.31,2546.45,3282.94,3272.94,2871.62,3122.58
2221.31,2546.45,3282.94,3272.94,3139.28,3122.58,2970.84
2546.45,3282.94,3272.94,3139.28,3364.37,2970.84,3378.17
3282.94,3272.94,3139.28,3364.37,3695.53,3378.17,3680.93
3272.94,3139.28,3364.37,3695.53,3588.23,3680.93,3602.33
3139.28,3364.37,3695.53,3588.23,3198.53,3602.33,3857.36
3364.37,3695.53,3588.23,3198.53,3234.57,3857.36,3477.33
3695.53,3588.23,3198.53,3234.57,3087.8,3477.33,3281.36
3588.23,3198.53,3234.57,3087.8,3091.82,3281.36,3080.77
3198.53,3234.57,3087.8,3091.82,2951.06,3080.77,3156.39
3234.57,3087.8,3091.82,2951.06,2955.21,3156.39,2941.68
3087.8,3091.82,2951.06,2955.21,2663.91,2941.68,2820.0
3091.82,2951.06,2955.21,2663.91,3137.79,2820.0,3210.48
2951.06,2955.21,2663.91,3137.79,2541.37,3210.48,3074.02
2955.21,2663.91,3137.79,2541.37,2689.36,3074.02,2658.75
